nbank: 100
nseed: 60
max_repeat: 150
R_d: 0.997301 (convergent_round: 150)
D_avg: 0.655 (similarity: 0.345)
init_bank_avg - SAS: 4.151, QED: 0.732
round   dcut  n_iter  obj_avg  obj_min  obj_max  n_replace  min/round
 113   0.241      6    0.680    0.673    0.693          3       0.58
 114   0.241      6    0.680    0.673    0.693          0       0.61
 115   0.240      6    0.680    0.673    0.693          2       0.58
 116   0.239      7    0.680    0.673    0.693          0       0.65
 117   0.239      7    0.680    0.673    0.693          0       0.66
 118   0.238      7    0.680    0.673    0.693          0       0.66
 119   0.238      7    0.680    0.673    0.693          0       0.65
 120   0.237      7    0.680    0.673    0.693          0       0.64
 121   0.236      7    0.680    0.673    0.693          0       0.65
 122   0.236      7    0.680    0.673    0.693          0       0.65
 123   0.235      7    0.680    0.673    0.693          0       0.63
 124   0.234      7    0.680    0.673    0.693          0       0.67
 125   0.234      7    0.680    0.673    0.693          0       0.67
 126   0.233      7    0.680    0.673    0.693          0       0.66
 127   0.232      7    0.680    0.673    0.693          0       0.64
 128   0.232      7    0.680    0.673    0.693          0       0.65
 129   0.231      7    0.680    0.673    0.693          1       0.66
 130   0.231      7    0.680    0.673    0.693          0       0.64
 131   0.230      7    0.680    0.673    0.693          0       0.64
 132   0.229      7    0.680    0.673    0.693          0       0.66
 133   0.229      7    0.680    0.673    0.693          0       0.63
 134   0.228      7    0.680    0.673    0.693          0       0.64
 135   0.227      7    0.680    0.673    0.693          0       0.66
 136   0.227      7    0.680    0.673    0.693          0       0.63
 137   0.226      7    0.680    0.673    0.693          0       0.66
 138   0.226      7    0.680    0.673    0.693          1       0.64
 139   0.225      7    0.680    0.673    0.693          0       0.64
 140   0.224      7    0.680    0.673    0.693          0       0.66
 141   0.224      7    0.680    0.673    0.693          0       0.67
 142   0.223      7    0.680    0.673    0.693          1       0.65
 143   0.223      7    0.680    0.673    0.693          0       0.66
 144   0.222      7    0.680    0.673    0.693          0       0.64
 145   0.221      7    0.680    0.673    0.693          0       0.66
 146   0.221      7    0.680    0.673    0.693          0       0.64
 147   0.220      7    0.680    0.673    0.693          0       0.66
 148   0.220      7    0.680    0.673    0.693          0       0.65
 149   0.219      7    0.680    0.673    0.693          0       0.65
