SMILES
COC(=O)[C@@H]1C[C@@H]2[C@H](CC[C@@H](C)N2[C@H]2CCCN(C(C)C)C2=O)O1
COC(=O)CN1CCO[C@@H]2C[C@H](N(C)C)CC[C@@H]21
CCCc1occc1C(=O)NC[C@H]1C[C@H]2CC[C@H]1N(C(=O)C(N)=O)C2
COCC(C)(C)N(Cc1ccccc1)C(=O)[C@@H](OC)c1ccccc1
CCOc1ccc(N2C[C@H](C(=O)N3CC(S(=O)(=O)CC)C3)CC2=O)cc1
Cc1noc(C)c1CC(=O)NC[C@H](Nc1cncc(Cl)n1)C1CC1
CCC(C)(C)C(=O)N[C@@H](C)CCCNC(=O)c1cn2c(n1)CCC2
O=C(NC[C@@H](Cc1ccccc1)c1ccccn1)c1sccc1-n1ccnn1
C[C@@H]1[C@@H](NC(=O)CC[C@@H]2CCOC2)CCN1C(=O)c1ncccn1
Cc1nc(-c2ccc(CNC(=O)NCc3cc(F)cc(Br)c3)cc2)cs1
