load_time: 0.007 min
dist_time: 0.1 min
round  iter  unused  time_seed  time_child  time_update  n_replace  n_eval
 131     1       1        0.0         0.0          0.0          1     35
 132     1       0        0.0         0.0          0.0          0     27
 133     1       2        0.0         0.0          0.0          1     41
 134     1       1        0.0         0.0          0.0          1     34
 135     1       0        0.0         0.0          0.0          0     35
 136     1       2        0.0         0.0          0.0          1     37
 137     1       2        0.0         0.0          0.0          1     37
 138     1       1        0.0         0.0          0.0          1     42
 139     1       0        0.0         0.0          0.0          0     41
 140     1       1        0.0         0.0          0.0          1     32
 141     1       0        0.0         0.0          0.0          0     30
 142     1       1        0.0         0.0          0.0          1     25
 143     1       1        0.0         0.0          0.0          0     36
 144     1       0        0.0         0.0          0.0          0     32
 145     1       1        0.0         0.0          0.0          0     29
 146     1       1        0.0         0.0          0.0          0     42
 147     1       0        0.0         0.0          0.0          0     39
 148     1       0        0.0         0.0          0.0          0     33
 149     1       1        0.0         0.0          0.0          0     43
