nbank: 100
nseed: 60
max_repeat: 150
R_d: 0.997301 (convergent_round: 150)
D_avg: 0.664 (similarity: 0.336)
init_bank_avg - SAS: 4.120, QED: 0.718
round   dcut  n_iter  obj_avg  obj_min  obj_max  n_replace  min/round
 113   0.245      1    0.682    0.671    0.707          0       0.04
 114   0.244      1    0.682    0.671    0.707          0       0.04
 115   0.243      1    0.682    0.671    0.707          1       0.04
 116   0.243      1    0.682    0.671    0.707          1       0.04
 117   0.242      1    0.682    0.671    0.707          0       0.04
 118   0.241      1    0.682    0.671    0.707          0       0.04
 119   0.241      1    0.682    0.671    0.707          0       0.04
 120   0.240      1    0.682    0.671    0.707          0       0.04
 121   0.239      1    0.682    0.671    0.707          1       0.04
 122   0.239      1    0.682    0.671    0.707          2       0.04
 123   0.238      1    0.682    0.671    0.707          0       0.04
 124   0.237      1    0.682    0.671    0.707          0       0.04
 125   0.237      1    0.683    0.671    0.707          2       0.04
 126   0.236      1    0.683    0.671    0.707          0       0.04
 127   0.235      1    0.683    0.671    0.707          1       0.04
 128   0.235      1    0.683    0.672    0.707          1       0.04
 129   0.234      1    0.683    0.672    0.707          0       0.03
 130   0.234      1    0.683    0.672    0.707          0       0.04
 131   0.233      1    0.683    0.672    0.707          1       0.04
 132   0.232      1    0.683    0.672    0.707          0       0.03
 133   0.232      1    0.683    0.672    0.707          1       0.04
 134   0.231      1    0.683    0.672    0.707          1       0.04
 135   0.230      1    0.683    0.672    0.707          0       0.04
 136   0.230      1    0.683    0.672    0.707          1       0.04
 137   0.229      1    0.683    0.672    0.707          1       0.04
 138   0.229      1    0.683    0.672    0.707          1       0.04
 139   0.228      1    0.683    0.672    0.707          0       0.04
 140   0.227      1    0.683    0.672    0.707          1       0.03
 141   0.227      1    0.683    0.672    0.707          0       0.03
 142   0.226      1    0.683    0.672    0.707          1       0.03
 143   0.226      1    0.683    0.672    0.707          0       0.04
 144   0.225      1    0.683    0.672    0.707          0       0.03
 145   0.224      1    0.683    0.672    0.707          0       0.03
 146   0.224      1    0.683    0.672    0.707          0       0.04
 147   0.223      1    0.683    0.672    0.707          0       0.04
 148   0.222      1    0.683    0.672    0.707          0       0.03
 149   0.222      1    0.683    0.672    0.707          0       0.04
